Transect ID,Fire Name,Distance,Weight (g),Total_Weight_(g/m^2),Date,Distance along transect,Height (cm),Length (cm),Width (cm),Basal diameter,% Cover,Cactus,Mean.GPS_E.Biomass,Mean.GPS_N.Biomass
1937-l-in,1937 fire,15.0,76.47825,152.9565,2015-07-15,15.0,,,,,0.0,1.5,476873.48744828114,4791805.441749999
1974-l-in,1974 fire,15.0,75.77000000000001,151.54000000000002,2015-07-20,15.0,,,,,0.0,18.0,485662.43594999984,4786828.4982
1974-l-out,1974 fire,15.0,49.749750000000006,99.49950000000001,2015-07-20,15.0,5.65,9.1,7.525,4.1,2.5,16.0,485729.5253999997,4787083.9599
35mm-l-in,35 mile marker,15.0,50.2966,100.5932,2015-08-04,15.0,,,,,0.0,12.0,510876.16198950005,4835577.1433850005
35mm-l-in,35 mile marker,15.0,50.2966,100.5932,2015-08-04,15.0,,,,,0.0,12.0,513119.903017298,4836134.864395944
35mm-ss-in,35 mile marker,15.0,75.6464,151.2928,2015-08-05,15.0,,,,,0.0,0.0,513198.76992999995,4832818.621705
35mm-ss-out,35 mile marker,15.0,50.43545,100.8709,2015-08-05,15.0,4.625,6.1499999999999995,3.9000000000000004,3.4,2.5,8.5,513582.01244672143,4832943.600727814
beck06-sl-in,beckwith 2006,15.0,92.27005,184.5401,2015-07-28,15.0,,,,,0.0,0.0,486364.761435839,4823909.906296426
beck06-sl-out,beckwith 2006,15.0,76.49915,152.9983,2015-07-28,15.0,2.5,1.5,1.0,0.2,7.5,4.5,485857.8874313889,4823704.174807444
beck11-l-in,beckwith 2011,15.0,28.555,57.11,2015-08-04,15.0,,,,,0.0,0.0,487407.834224,4814105.4024
beck11-l-out,beckwith 2011,15.0,19.38465,38.7693,2015-08-04,15.0,,,,,0.0,0.0,487098.5991005,4814097.02093
beck11-sl-in,beckwith 2011,15.0,48.180949999999996,96.36189999999999,2015-08-04,15.0,,,,,0.0,0.0,487477.7809959365,4814776.630016461
beck11-sl-out,beckwith 2011,15.0,45.0773,90.1546,2015-08-04,15.0,,,,,0.0,34.5,487039.18478167005,4815096.310823036
borg-l-in,borgailli,15.0,28.71815,57.4363,2015-08-13,15.0,,,,,0.0,0.0,539343.4784653517,4843590.307161439
borg-l-out,borgailli,15.0,55.6774,111.3548,2015-08-13,15.0,,,,,0.0,0.0,538701.0701072649,4843440.960667314
borg-s-in,borgailli,15.0,33.48595,66.9719,2015-08-13,15.0,,,,,0.0,0.0,539787.727904,4843515.4024
borg-s-out,borgailli,15.0,38.24345,76.4869,2015-08-13,15.0,,,,,0.0,0.0,538804.790683,4844099.130065
borg-sl-in,borgailli,15.0,30.3787,60.7574,2015-08-13,15.0,,,,,0.0,0.0,539332.768899,4843436.026075
borg-sl-out,borgailli,15.0,46.651700000000005,93.30340000000001,2015-08-13,15.0,,,,,0.0,2.0,538775.436306,4843175.151035
chey03-l-in,cheyenne river 2003,15.0,60.905699999999996,121.81139999999999,2015-08-03,15.0,,,,,0.0,0.0,505249.7640765,4815123.95221
chey03-l-out,cheyenne river 2003,15.0,73.84530000000001,147.69060000000002,2015-08-03,15.0,,,,,0.0,0.0,505416.5740655,4815121.678704999
chey03-sl-in,cheyenne river 2003,15.0,30.678900000000002,61.357800000000005,2015-08-03,15.0,,,,,0.0,4.0,504611.8859434216,4814816.673893334
chey03-sl-out,cheyenne river 2003,15.0,77.41205,154.8241,2015-08-03,15.0,,,,,0.0,0.0,504432.89628364966,4814691.62197822
chey06-c-in,cheyenne river 2006,15.0,81.30414999999999,162.60829999999999,2015-07-14,15.0,,,,,0.0,0.0,472641.901565,4795792.83037
chey06-c-out,cheyenne river 2006,15.0,56.0759,112.1518,2015-07-15,15.0,,,,,0.0,0.0,473096.96302749997,4795687.02093
chey06-l-in,cheyenne river 2006,15.0,67.90400000000001,135.80800000000002,2015-07-14,15.0,,,,,0.0,12.0,472715.436306,4795995.151035
chey06-l-out,cheyenne river 2006,15.0,68.6397,137.2794,2015-07-14,15.0,,,,,0.0,1.0,473476.9630274999,4795977.02093
chey06-sal-in,cheyenne river 2006,15.0,48.96815,97.9363,2015-07-15,15.0,1.1833333333333333,0.9666666666666668,0.29999999999999993,-0.43333333333333335,1.0,0.0,472432.4069767748,4795568.606073876
chey06-sal-out,cheyenne river 2006,15.0,124.13000000000001,248.26000000000002,2015-07-14,15.0,,,,,0.0,0.0,472539.76407649997,4795393.95221
chey06-sc-in,cheyenne river 2006,15.0,46.83695,93.6739,2015-07-14,15.0,,,,,0.0,0.5,472817.834224,4795945.4024
chey06-sc-out,cheyenne river 2006,15.0,49.234049999999996,98.46809999999999,2015-07-14,15.0,,,,,0.0,0.0,473413.37329250004,4795870.803324999
cumm-c-in,cummings,15.0,57.8545,115.709,2015-08-20,15.0,,,,,0.0,2.0,532926.1619895,4853247.1433850005
drycr-c-in,dry creek,15.0,72.66825,145.3365,2015-07-20,15.0,,,,,0.0,0.0,486000.187233,4786221.435815
drycr-c-out,dry creek,15.0,33.32325,66.6465,2015-07-20,15.0,1.7,1.1,1.0,0.1,0.0,1.0,486346.792198,4786208.621704999
drycr-l-in,dry creek,15.0,42.452400000000004,84.90480000000001,2015-07-23,15.0,,,,,0.0,18.5,484732.40936542687,4785493.360419303
drycr-sc-in,dry creek,15.0,54.77345,109.5469,2015-07-20,15.0,,,,,0.0,0.0,485444.790683,4784419.130065
drycr-sc-out,dry creek,15.0,40.965450000000004,81.93090000000001,2015-07-20,15.0,4.2,7.8,5.15,3.05,1.0,7.5,485974.790683,4784319.130065
dryfork-l-in,dry fork,15.0,109.71455,219.4291,2015-08-03,15.0,,,,,0.0,0.0,479227.977567198,4799168.015059247
dryfork-l-out,dry fork,15.0,95.305,190.61,2015-08-03,15.0,,,,,0.0,0.5,479052.890431,4799258.438115
erie-l-in,east riehle,15.0,94.71055,189.4211,2015-08-12,15.0,,,,,0.0,0.0,503695.7980515,4784563.95221
erie-l-out,east riehle,15.0,42.9546,85.9092,2015-08-12,15.0,,,,,0.0,0.0,503109.76407649997,4784713.95221
erie-sal-in,east riehle,15.0,83.23910000000001,166.47820000000002,2015-08-12,15.0,,,,,0.0,0.0,503263.031044,4784330.858109999
erie-sal-out,east riehle,15.0,65.17224999999999,130.34449999999998,2015-08-12,15.0,,,,,0.5,0.0,503349.4494864826,4783919.954145369
keera-l-in,keeline ra,15.0,55.01445,110.0289,2015-07-29,15.0,,,,,0.0,12.5,493953.75582049997,4851301.31099
keera-s-in,keeline ra,15.0,56.22345,112.4469,2015-07-29,15.0,,,,,0.0,0.0,493933.0842040002,4850353.62968
keera-s-out,keeline ra,15.0,55.381350000000005,110.76270000000001,2015-07-29,15.0,30.0,31.0,21.0,7.0,7.5,0.0,493743.6586285497,4850640.235163977
keera-sl-in,keeline ra,15.0,21.349700000000002,42.699400000000004,2015-07-29,15.0,3.1,1.5,1.1,0.2,0.0,6.0,493840.771445,4851589.130065
keera-sl-out,keeline ra,15.0,89.695,179.39,2015-07-29,15.0,1.8083333333333331,1.0708333333333333,0.5916666666666667,0.1,0.0,0.0,494230.125822,4851965.151035
keera-ss-in,keeline ra,15.0,61.6054,123.2108,2015-07-29,15.0,,,,,0.0,1.5,,
keera-ss-out,keeline ra,15.0,38.887950000000004,77.77590000000001,2015-07-29,15.0,9.725,10.0,3.0999999999999996,2.375,3.5,0.0,,
kuem-l-in,kuemmerle,15.0,46.396249999999995,92.79249999999999,2015-08-17,15.0,7.375,10.774999999999999,7.475,4.325,2.0,7.5,530649.7640765,4852383.95221
kuem-s-in,kuemmerle,15.0,50.31225,100.6245,2015-08-17,15.0,,,,,0.0,0.0,529823.660563,4852492.83037
